성명,성별,전문의자격번호,면허번호,졸업대학,졸업연도,수련병원,현소속기관,지역,세부전공
김현수,남,정신건강의학과-2003-000457,제45012호,서울대학교,1998,서울대학교병원,국립서울정신건강병원,서울 광진,조현병·정신증
이정민,여,정신건강의학과-2008-001123,제48230호,연세대학교,2003,세브란스병원,국립서울정신건강병원,서울 광진,자살예방·정신응급
박서진,남,정신건강의학과-2013-002210,제51890호,성균관대학교,2008,삼성서울병원,마음편한신경정신과의원,서울 강남,불안·공황장애
정유나,여,정신건강의학과-2007-000912,제44551호,가톨릭대학교,2002,서울성모병원,서울맑은정신건강의학과병원,서울 노원,기분장애(우울/조울)
한지호,남,정신건강의학과-2012-001745,제50677호,한양대학교,2007,한양대학교병원,서울맑은정신건강의학과병원,서울 노원,노인정신(치매/섬망)
오하늘,여,정신건강의학과-2014-002588,제52140호,이화여자대학교,2009,이대목동병원,새봄소아청소년정신건강의학과의원,서울 양천,소아청소년정신
신동욱,남,정신건강의학과-2006-000633,제43388호,중앙대학교,2001,중앙대학교병원,한울중독정신건강의학과병원,경기 의왕,중독(알코올/도박/게임)
윤소희,여,정신건강의학과-2015-002901,제53299호,고려대학교,2010,고려대학교안암병원,연세마음정신건강의학과의원,서울 서대문,수면의학
강민재,남,정신건강의학과-2009-001388,제49112호,울산대학교,2004,서울아산병원,분당온정신건강의학과병원,경기 성남,조현병·정신증
임가은,여,정신건강의학과-2016-003055,제54870호,경희대학교,2011,경희대학교병원,분당온정신건강의학과병원,경기 성남,강박·외상(PTSD)
조은별,여,정신건강의학과-2014-002477,제52066호,인하대학교,2009,인하대학교병원,인천나래정신건강의학과의원,인천 남동,기분장애(우울/조울)
문채원,여,정신건강의학과-2010-001502,제49540호,건국대학교,2005,건국대학교병원,고양늘봄정신건강의학과병원,경기 고양,노인정신(치매/섬망)
배수민,남,정신건강의학과-2013-002188,제51745호,부산대학교,2008,분당서울대학교병원,강북힐링정신건강의학과의원,서울 강북,정신신체의학
서지안,여,정신건강의학과-2008-001099,제48190호,아주대학교,2003,아주대학교병원,수원중앙대학교병원,경기 수원,자살예방·정신응급
김태영,남,정신건강의학과-2008-000777,제51234호,서울대학교,2002,서울대학교병원,서울행복정신건강의학과의원,서울 강남,불안·공황장애
이수진,여,정신건강의학과-2014-001580,제60111호,연세대학교,2008,세브란스병원,마포평온정신건강의학과병원,서울 마포,기분장애(우울/조울)
박민호,남,정신건강의학과-2005-000510,제47002호,고려대학교,1999,고려대학교구로병원,한빛정신건강의학과의원,서울 영등포,중독(알코올/도박/게임)
박민호,남,정신건강의학과-2018-003220,제72540호,부산대학교,2012,부산대학교병원,동래마음정신건강의학과의원,부산 동래,조현병·정신증
